,days,high,low,description
2021-09-29,Wed,18,10,A mix of clouds and sun. High near 65F. Winds W at 10 to 20 mph.
2021-09-30,Thu,21,11,A mainly sunny sky. High 69F. NNE winds shifting to W at 10 to 20 mph.
2021-10-01,Fri,20,12,Partly cloudy skies. High 68F. NNE winds shifting to W at 10 to 15 mph.
2021-10-02,Sat,21,12,Partly cloudy skies. High 69F. Winds NNW at 10 to 15 mph.
2021-10-03,Sun,21,12,Sunny skies. High 69F. Winds NNW at 10 to 15 mph.
2021-10-04,Mon,21,12,"A few passing clouds, otherwise generally sunny. High around 70F. Winds NW at 10 to 15 mph."
2021-10-05,Tue,18,12,Partly to mostly cloudy. High near 65F. Winds W at 10 to 20 mph.
2021-10-06,Wed,18,12,Cloudy early with partial sunshine expected late. High 64F. Winds W at 10 to 20 mph.
2021-10-07,Thu,18,12,Intervals of clouds and sunshine. High 64F. Winds W at 10 to 20 mph.
2021-10-08,Fri,17,11,Rain showers in the morning becoming more intermittent in the afternoon. High 62F. Winds W at 10 to 15 mph. Chance of rain 40%.
2021-10-09,Sat,17,11,Partly cloudy. High 63F. Winds WNW at 10 to 20 mph.
2021-10-10,Sun,18,11,Sunshine and clouds mixed. High 64F. Winds WNW at 10 to 20 mph.
2021-10-11,Mon,18,11,Partly cloudy skies. High 64F. Winds WNW at 10 to 15 mph.
2021-10-12,Tue,19,11,Mostly sunny. High 66F. Winds WNW at 10 to 15 mph.
2021-10-13,Wed,19,11,Sunshine and clouds mixed. High 67F. Winds NW at 10 to 15 mph.
