,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
0,Sons of Darkness,Gail Z. Martin,44,107,4.41,284,2018,,1,"Fantasy > Paranormal,Fantasy,Fantasy > Urban Fantasy",,,https://www.goodreads.com/book/show/42623193-sons-of-darkness
1,There Be Demons,M.K. Theodoratus,56,64,4.34,469,2017,,0,"Fantasy,Fantasy > Paranormal,Romance",,,https://www.goodreads.com/book/show/36263281-there-be-demons
2,The Red Lands,ForestRage,3,27,4.19,504,2018,,0,Fantasy,,,https://www.goodreads.com/book/show/43161830-the-red-lands
3,Adventures in Ayr: A New World,Richard Gregory,1,5,4.8,186,2018,,0,,,,https://www.goodreads.com/book/show/42063857-adventures-in-ayr
4,Journey To Osm,Sybrina Durant,40,51,4.16,259,2018,,0,"Fantasy,Fantasy > Magic",,,https://www.goodreads.com/book/show/43265889-journey-to-osm
5,The 19th Bladesman,S.J. Hartland,104,251,4.14,633,2018,,1,"Fantasy,Fantasy > Epic Fantasy,Fiction",Readers' Favorite Book Award for Fiction - Fantasy - Epic (Gold) (2019),,https://www.goodreads.com/book/show/42933229-the-19th-bladesman
6,Transit to Zeiss: Book One of the Codex Veritatis Trilogy,Jeffrey Chase,0,3,3.67,516,2018,,0,,,,https://www.goodreads.com/book/show/43313967-transit-to-zeiss
7,Creation I - Tales of Goodly Might,Eric K. Barnum,0,5,4.0,210,2018,,0,,,,https://www.goodreads.com/book/show/43322713-creation-i---tales-of-goodly-might
8,The Elven,Bernhard Hennen,473,7763,4.09,837,2015,2004,1,"Fantasy,Fiction,Fantasy > High Fantasy",,,https://www.goodreads.com/book/show/25581147-the-elven
9,The Whale Kingdom Quest,Ming Wei,19,20,3.8,,2018,2014,0,,,,https://www.goodreads.com/book/show/41082193-the-whale-kingdom-quest
10,Angels of Perdition,R.M. Garino,18,28,4.64,599,2018,,1,"Romance,Fantasy",,,https://www.goodreads.com/book/show/43177377-angels-of-perdition
11,"Guardian of the Sunshine Bride (Sīhalt, #1)",Austin Rehl,20,46,4.3,416,2018,,0,"Fantasy,Young Adult > Young Adult Fantasy,Romance",,,https://www.goodreads.com/book/show/43314929-guardian-of-the-sunshine-bride
12,Broken,Mason Sabre,13,34,4.76,328,2019,,1,,,,https://www.goodreads.com/book/show/43386087-broken
13,The Finisher,David Baldacci,1707,14771,3.82,512,2015,2014,1,"Fantasy,Young Adult,Fiction",,,https://www.goodreads.com/book/show/23310212-the-finisher
14,"I, Beauty",Lashone Vs Shaneek,0,8,4.88,226,2018,,0,,,,https://www.goodreads.com/book/show/39733282-i-beauty
15,The Catcher in the Rye,J.D. Salinger,63873,2972554,3.81,277,2001,1951,0,"Classics,Fiction,Young Adult","Teen Read Award Nominee for Best All-Time-Fave (2010), National Book Award Finalist for Fiction (1952)","New York City, New York,Agerstown, Pennsylvania",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
16,Atlis: Crónicas del mundo que perdimos,J.G Gutiérrez,0,2,4.5,181,2018,,0,,,,https://www.goodreads.com/book/show/42863756-atlis
