,Unnamed: 0,title,author,Reviews,Total_ratings,Average_rating,num_pages,original_publish_year,series,genres,awards,url
0,0,The Battle For Brisingamen,Harmony Kent,0.02204724409448819,0.0015088013411567478,0.46341463414634165,244.0,2013.0,0,,,https://www.goodreads.com/book/show/18270590-the-battle-for-brisingamen
1,1,Nevermor,Lani Lenore,0.05511811023622047,0.015842414082145855,0.7024390243902439,389.0,2013.0,1,"Fantasy,Retellings,Young Adult",,https://www.goodreads.com/book/show/17367700-nevermor
2,2,Segolia: Daughter of Prophecy,Brittany Oldroyd,0.01889763779527559,0.0019279128248114,0.8390243902439025,308.0,2013.0,0,,,https://www.goodreads.com/book/show/17731831-segolia
3,3,A Woman Scarred,G.T. Lines,0.004724409448818898,0.0006705783738474435,0.8243902439024391,416.0,2012.0,0,,,https://www.goodreads.com/book/show/18341139-a-woman-scarred
4,4,Assassin's Gambit,Amy Raby,0.2992125984251969,0.1366303436714166,0.36097560975609766,400.0,2013.0,1,"Fantasy,Romance,Romance > Fantasy Romance",,https://www.goodreads.com/book/show/15808673-assassin-s-gambit
5,5,"The Wolf Lord (Wolf Lord Saga, #1)",Robert A. Fee,0.0,0.00041911148365465214,0.6780487804878048,718.0,2012.0,0,,,https://www.goodreads.com/book/show/16047719-the-wolf-lord
6,6,The Hobble Knobble Gobble Tree - a middle grade fantasy,Camille Singleton,0.0031496062992125984,0.0010896898575020956,0.5560975609756098,312.0,2013.0,0,Childrens > Middle Grade,,https://www.goodreads.com/book/show/18437653-the-hobble-knobble-gobble-tree---a-middle-grade-fantasy
7,7,Slumbering,C.S. Johnson,0.11338582677165354,0.0250628667225482,0.3902439024390245,206.0,2012.0,1,"Fantasy,Young Adult,Fiction",,https://www.goodreads.com/book/show/17240480-slumbering
8,8,Rise of the Destroyer,A.R. Voss,0.048818897637795275,0.007208717518860017,0.3170731707317074,204.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/17279085-rise-of-the-destroyer
9,9,The Cost of Haven,F.F. McCulligan,0.011023622047244094,0.0014249790444258172,0.7024390243902439,452.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/17714772-the-cost-of-haven
10,10,Stillwell,Michael Phillip Cash,0.3606299212598425,0.08130762782900253,0.5658536585365852,137.0,2013.0,0,"Horror,Fantasy > Paranormal,Mystery",,https://www.goodreads.com/book/show/18106337-stillwell
11,11,Qualia,Marie Browne,0.026771653543307086,0.0024308466051969823,0.6780487804878048,410.0,2013.0,0,"Fantasy,Fantasy > Urban Fantasy,Fiction",,https://www.goodreads.com/book/show/17922149-qualia
12,12,A Conspiracy of Wizards: Book One of the Cloven Accord,Steve Harvey,0.004724409448818898,0.0010896898575020956,0.8292682926829265,312.0,2005.0,0,,,https://www.goodreads.com/book/show/558003.A_Conspiracy_of_Wizards
13,13,Path of Power: The First Great Misfortune,H.O. De Jonge,0.011023622047244094,0.0014249790444258172,0.9219512195121953,311.0,2013.0,0,,,https://www.goodreads.com/book/show/18366092-path-of-power
14,14,End of the Beginning,Jon Snyder,0.012598425196850394,0.014417435037720035,0.3365853658536586,352.0,2013.0,0,Science Fiction,,https://www.goodreads.com/book/show/18430440-end-of-the-beginning
15,15,The Erl King's Children,Jordan Leah Hunter,0.006299212598425197,0.0006705783738474435,0.3804878048780489,439.0,2013.0,0,Fantasy,,https://www.goodreads.com/book/show/18627949-the-erl-king-s-children
16,16,Dawn of the Knight I - Xeltian Invitation,Steven M. Vincent,0.007874015748031496,0.001005867560771165,0.8146341463414635,389.0,,1,Fantasy,,https://www.goodreads.com/book/show/17250780-dawn-of-the-knight-i---xeltian-invitation
17,17,The Last Enchanter (Celestine Chronicles #2),Laurisa White Reyes,0.01889763779527559,0.00796311818943839,0.6195121951219511,404.0,2013.0,0,"Fantasy,Childrens > Middle Grade,Childrens",,https://www.goodreads.com/book/show/17465737-the-last-enchanter
18,18,Fire-Heart,C.S. Marks,0.03622047244094488,0.023470243084660523,0.6146341463414633,524.0,2013.0,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,https://www.goodreads.com/book/show/18649732-fire-heart
19,19,Where the Deer Dwell,Dorothy Gravelle,0.015748031496062992,0.006202849958088852,0.448780487804878,310.0,2012.0,0,"Science Fiction > Time Travel,Romance,Fantasy",,https://www.goodreads.com/book/show/14789333-where-the-deer-dwell
20,20,Kings of the Red Shell,R.A. White,0.01732283464566929,0.0037720033528918697,0.9121951219512197,453.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/18881530-kings-of-the-red-shell
21,21,A Warrior's Redemption,Guy S. Stanton III,0.05511811023622047,0.01709974853310981,0.5365853658536586,,2013.0,1,"Fantasy,Christian Fiction,Christian",,https://www.goodreads.com/book/show/18744221-a-warrior-s-redemption
