,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,url
0,The Battle For Brisingamen,Harmony Kent,14,21,3.81,244.0,2013.0,0,,,https://www.goodreads.com/book/show/18270590-the-battle-for-brisingamen
1,Nevermor,Lani Lenore,35,192,4.3,389.0,2013.0,1,"Fantasy,Retellings,Young Adult",,https://www.goodreads.com/book/show/17367700-nevermor
2,Segolia: Daughter of Prophecy,Brittany Oldroyd,12,26,4.58,308.0,2013.0,0,,,https://www.goodreads.com/book/show/17731831-segolia
3,A Woman Scarred,G.T. Lines,3,11,4.55,416.0,2012.0,0,,,https://www.goodreads.com/book/show/18341139-a-woman-scarred
4,Assassin's Gambit,Amy Raby,190,1633,3.6,400.0,2013.0,1,"Fantasy,Romance,Romance > Fantasy Romance",,https://www.goodreads.com/book/show/15808673-assassin-s-gambit
5,"The Wolf Lord (Wolf Lord Saga, #1)",Robert A. Fee,0,8,4.25,718.0,2012.0,0,,,https://www.goodreads.com/book/show/16047719-the-wolf-lord
6,The Hobble Knobble Gobble Tree - a middle grade fantasy,Camille Singleton,2,16,4.0,312.0,2013.0,0,Childrens > Middle Grade,,https://www.goodreads.com/book/show/18437653-the-hobble-knobble-gobble-tree---a-middle-grade-fantasy
7,Slumbering,C.S. Johnson,72,302,3.66,206.0,2012.0,1,"Fantasy,Young Adult,Fiction",,https://www.goodreads.com/book/show/17240480-slumbering
8,Rise of the Destroyer,A.R. Voss,31,89,3.51,204.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/17279085-rise-of-the-destroyer
9,The Cost of Haven,F.F. McCulligan,7,20,4.3,452.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/17714772-the-cost-of-haven
10,Stillwell,Michael Phillip Cash,229,973,4.02,137.0,2013.0,0,"Horror,Fantasy > Paranormal,Mystery",,https://www.goodreads.com/book/show/18106337-stillwell
11,Qualia,Marie Browne,17,32,4.25,410.0,2013.0,0,"Fantasy,Fantasy > Urban Fantasy,Fiction",,https://www.goodreads.com/book/show/17922149-qualia
12,A Conspiracy of Wizards: Book One of the Cloven Accord,Steve Harvey,3,16,4.56,312.0,2005.0,0,,,https://www.goodreads.com/book/show/558003.A_Conspiracy_of_Wizards
13,Path of Power: The First Great Misfortune,H.O. De Jonge,7,20,4.75,311.0,2013.0,0,,,https://www.goodreads.com/book/show/18366092-path-of-power
14,End of the Beginning,Jon Snyder,8,175,3.55,352.0,2013.0,0,Science Fiction,,https://www.goodreads.com/book/show/18430440-end-of-the-beginning
15,The Erl King's Children,Jordan Leah Hunter,4,11,3.64,439.0,2013.0,0,Fantasy,,https://www.goodreads.com/book/show/18627949-the-erl-king-s-children
16,Dawn of the Knight I - Xeltian Invitation,Steven M. Vincent,5,15,4.53,389.0,,1,Fantasy,,https://www.goodreads.com/book/show/17250780-dawn-of-the-knight-i---xeltian-invitation
