,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
0,The Illearth War,Stephen R. Donaldson,412,25813,4.01,527,1981,1978,1,"Fantasy,Fiction,Science Fiction Fantasy",,,https://www.goodreads.com/book/show/618176.The_Illearth_War
1,The Faded Sun Trilogy,C.J. Cherryh,214,4990,4.13,775,2000,1978,1,"Science Fiction,Fantasy,Fiction",,,https://www.goodreads.com/book/show/57042.The_Faded_Sun_Trilogy
2,Sourcery,Terry Pratchett,2400,90646,3.88,276,2008,1988,1,"Fantasy,Fiction,Humor",,,https://www.goodreads.com/book/show/34499.Sourcery
3,The Runaway King,Jennifer A. Nielsen,3858,38604,4.24,331,2013,,1,"Fantasy,Young Adult,Adventure",Goodreads Choice Award Nominee for Middle Grade & Children's (2013),,https://www.goodreads.com/book/show/15703770-the-runaway-king
4,The Book Thief,Markus Zusak,121033,2051889,4.38,552,2006,2005,0,"Historical > Historical Fiction,Fiction,Young Adult","National Jewish Book Award for Children’s and Young Adult Literature (2006), Book Sense Book of the Year Award for Children's Literature (2007), Buxtehuder Bulle (2008), Sydney Taylor Book Award for Teen Readers (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2009) ...more","Molching,Germany",https://www.goodreads.com/book/show/19063.The_Book_Thief
5,Majipoor Chronicles,Robert Silverberg,110,3208,3.8,400,1996,1981,1,"Fantasy,Science Fiction,Fiction",,,https://www.goodreads.com/book/show/252969.Majipoor_Chronicles
6,Rogues in Hell,Janet E. Morris,7,64,4.67,502,2012,2012,1,"Fantasy,Fiction",,,https://www.goodreads.com/book/show/15746960-rogues-in-hell
7,A Man Rides Through,Stephen R. Donaldson,244,12621,4.02,672,2003,1987,1,"Fantasy,Fiction,Science Fiction Fantasy",SFBC Award (1988),,https://www.goodreads.com/book/show/22867.A_Man_Rides_Through
8,Tempus Unbound,Janet E. Morris,13,106,4.14,238,2017,1989,1,"Fantasy,Fiction",,,https://www.goodreads.com/book/show/35427101-tempus-unbound
9,Poets in Hell,Janet E. Morris,9,78,4.81,410,2014,,1,"Fantasy,Short Stories,Literary Fiction",,,https://www.goodreads.com/book/show/22605657-poets-in-hell
10,Nightshade,Andrea Cremer,5085,87040,3.99,452,2010,,1,"Young Adult,Fantasy,Fantasy > Paranormal",,"Vail, Colorado",https://www.goodreads.com/book/show/7402393-nightshade
11,"The Malloreon, Vol. 1: Guardians of the West / King of the Murgos / Demon Lord of Karanda",David Eddings,83,5028,4.34,816,2005,,1,"Fantasy,Fiction,Fantasy > High Fantasy",,,https://www.goodreads.com/book/show/18881.The_Malloreon_Vol_1
12,The City of Brass,S.A. Chakraborty,10485,68556,4.11,533,2017,,1,"Fantasy,Fiction,Historical > Historical Fiction","Locus Award Nominee for Best First Novel (2018), World Fantasy Award Nominee for Best Novel (2018), Compton Crook Award Nominee (2019), British Fantasy Award Nominee for Best Newcomer (Sydney J. Bounds Award) (2018), BookNest Award for Best Debut Novel (2018)","Cairo,Egypt",https://www.goodreads.com/book/show/32718027-the-city-of-brass
13,Seer of Sevenwaters,Juliet Marillier,617,10519,4.05,432,2010,2010,1,"Fantasy,Romance,Historical > Historical Fiction",Goodreads Choice Award Nominee for Fantasy (2010),,https://www.goodreads.com/book/show/7839024-seer-of-sevenwaters
14,Daughter of the Blood,Anne Bishop,2296,41413,4.03,412,1998,,1,"Fantasy,Romance,Fantasy > Magic",IAFA William L. Crawford Fantasy Award (2000),,https://www.goodreads.com/book/show/47956.Daughter_of_the_Blood
15,The Hallowed Hunt,Lois McMaster Bujold,704,10910,3.86,423,2006,2005,1,"Fantasy,Fiction,Science Fiction Fantasy","Locus Award Nominee for Best Fantasy Novel (2006), Mythopoeic Fantasy Award Nominee for Adult Literature (2006)",Weald,https://www.goodreads.com/book/show/61887.The_Hallowed_Hunt
