Name of book,Author,Series,series url,Isbn Code,Isbn 13 Code,Year of Publish,No of Pages,Book rating,Number of Ratings,Rating Distribution,Number of Reviews,Genres
A Game of Thrones,George R.R. Martin,A Song of Ice and Fire #1,/series/43790-a-song-of-ice-and-fire,isbn not found,isbn13 not found,1996,835,4.44,2156975,"{'5 Stars': 1323862, '4 Stars': 580230, '3 Stars': 170400, '2 Stars': 46282, '1 Star': 36201}",56508,"['Fantasy', 'Fiction', 'Fantasy > Epic Fantasy', 'Adult', 'Fantasy > High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Audiobook', 'Fantasy > Dragons', 'Epic']"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,The Lord of the Rings #0-3,/series/66175-the-lord-of-the-rings,618002251,9.78062E+12,1955,1728,4.6,118897,"{'5 Stars': 84762, '4 Stars': 24431, '3 Stars': 7098, '2 Stars': 1574, '1 Star': 1032}",1914,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Fantasy > Epic Fantasy', 'Young Adult', 'Fantasy > High Fantasy', 'Literature', 'Fantasy > Magic']"
The Name of the Wind,Patrick Rothfuss,The Kingkiller Chronicle #1,/series/45262-the-kingkiller-chronicle,8401337208,9.7884E+12,2007,662,4.51,797807,"{'5 Stars': 541075, '4 Stars': 169701, '3 Stars': 54836, '2 Stars': 18611, '1 Star': 13584}",45719,"['Fantasy', 'Fiction', 'Fantasy > Epic Fantasy', 'Fantasy > High Fantasy', 'Fantasy > Magic', 'Science Fiction Fantasy', 'Adult', 'Adventure', 'Audiobook', 'Epic']"
The Way of Kings,Brandon Sanderson,The Stormlight Archive #1,/series/49075-the-stormlight-archive,765365278,9.78077E+12,,1007,4.6,362357,"{'5 Stars': 261603, '4 Stars': 72634, '3 Stars': 17977, '2 Stars': 5772, '1 Star': 4371}",23787,"['Fantasy', 'Fiction', 'Fantasy > Epic Fantasy', 'Fantasy > High Fantasy', 'Audiobook', 'Adult', 'Science Fiction Fantasy', 'Fantasy > Magic', 'Epic', 'Adventure']"
The Chronicles of Narnia,C.S. Lewis,The Chronicles of Narnia (Publication Order,/series/49073-the-chronicles-of-narnia-publication-order,60598247,9.78006E+12,1956,767,4.25,570858,"{'5 Stars': 281624, '4 Stars': 183675, '3 Stars': 81126, '2 Stars': 17555, '1 Star': 6878}",10983,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Childrens > Middle Grade', 'Science Fiction Fantasy', 'Christian Fiction']"
The Eye of the World,Robert Jordan,The Wheel of Time #1,/series/41526-the-wheel-of-time,isbn not found,9.78077E+12,1990,814,4.17,433771,"{'5 Stars': 204214, '4 Stars': 139715, '3 Stars': 60348, '2 Stars': 18421, '1 Star': 11073}",15085,"['Fantasy', 'Fiction', 'Fantasy > Epic Fantasy', 'Fantasy > High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Adult', 'Audiobook', 'Fantasy > Magic', 'Epic']"
Mistborn: The Final Empire,Brandon Sanderson,The Mistborn Saga #1,/series/40910-the-mistborn-saga,575089911,9.78058E+12,,541,4.44,473959,"{'5 Stars': 277894, '4 Stars': 144399, '3 Stars': 38310, '2 Stars': 8565, '1 Star': 4791}",33257,"['Fantasy', 'Fiction', 'Fantasy > High Fantasy', 'Fantasy > Epic Fantasy', 'Adult', 'Fantasy > Magic', 'Young Adult', 'Science Fiction Fantasy', 'Audiobook', 'Adventure']"
His Dark Materials,Philip Pullman,His Dark Materials #1-3,/series/44427-his-dark-materials,1841593427,9.78184E+12,2000,1088,4.26,154536,"{'5 Stars': 80690, '4 Stars': 45376, '3 Stars': 19169, '2 Stars': 5819, '1 Star': 3482}",5402,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Science Fiction Fantasy', 'Adventure', 'Science Fiction', 'Classics', 'Childrens > Middle Grade', 'Science Fiction > Steampunk']"
Eragon,Christopher Paolini,The Inheritance Cycle #1,/series/44866-the-inheritance-cycle,375826688,9.78038E+12,2002,503,3.92,1549427,"{'5 Stars': 596026, '4 Stars': 464294, '3 Stars': 314005, '2 Stars': 111998, '1 Star': 63104}",23551,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy > Dragons', 'Adventure', 'Fantasy > Magic', 'Fantasy > High Fantasy', 'Science Fiction Fantasy', 'Young Adult > Young Adult Fantasy', 'Childrens']"
Assassin's Apprentice,Robin Hobb,The Farseer Trilogy #1,/series/41452-the-farseer-trilogy,6480098,9.78001E+12,1995,435,4.16,262076,"{'5 Stars': 112634, '4 Stars': 95934, '3 Stars': 39718, '2 Stars': 9506, '1 Star': 4284}",11682,"['Fantasy', 'Fiction', 'Fantasy > Epic Fantasy', 'Fantasy > High Fantasy', 'Adult', 'Adventure', 'Fantasy > Magic', 'Science Fiction Fantasy', 'Young Adult', 'Audiobook']"
The Lies of Locke Lamora,Scott Lynch,Gentleman Bastard #1,/series/43531-gentleman-bastard,553804677,9.78055E+12,2006,752,4.25,257345,"{'5 Stars': 131663, '4 Stars': 81357, '3 Stars': 28304, '2 Stars': 9650, '1 Star': 6371}",16558,"['Fantasy', 'Fiction', 'Adventure', 'Adult', 'Fantasy > High Fantasy', 'Fantasy > Epic Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Mystery', 'Mystery > Crime']"
The Gunslinger,Stephen King,The Dark Tower #1,/series/40750-the-dark-tower,1444723448,9.7884E+12,1982,231,3.94,549917,"{'5 Stars': 210340, '4 Stars': 168481, '3 Stars': 115133, '2 Stars': 39321, '1 Star': 16642}",20446,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Westerns', 'Adventure', 'Audiobook', 'Science Fiction Fantasy', 'Thriller', 'Apocalyptic > Post Apocalyptic']"
