iter	Passed	Remaining
0	192	19035
1	224	11011
2	251	8141
3	279	6697
4	307	5843
5	333	5218
6	362	4818
7	394	4536
8	423	4278
9	448	4040
10	479	3879
11	510	3747
12	542	3629
13	575	3536
14	608	3447
15	643	3378
16	681	3325
17	718	3272
18	756	3224
19	795	3181
20	843	3173
21	884	3136
22	929	3110
23	973	3083
24	1017	3051
25	1072	3052
26	1120	3030
27	1168	3005
28	1221	2990
29	1262	2945
30	1310	2916
31	1361	2893
32	1411	2866
33	1459	2833
34	1508	2802
35	1556	2767
36	1604	2731
37	1653	2697
38	1702	2663
39	1757	2636
40	1819	2618
41	1882	2600
42	1927	2555
43	1975	2514
44	2019	2468
45	2072	2432
46	2119	2389
47	2163	2343
48	2210	2300
49	2252	2252
50	2294	2204
51	2335	2155
52	2381	2112
53	2428	2068
54	2468	2020
55	2516	1977
56	2568	1937
57	2618	1895
58	2667	1854
59	2715	1810
60	2759	1764
61	2802	1717
62	2850	1674
63	2897	1629
64	2940	1583
65	2984	1537
66	3027	1491
67	3077	1448
68	3122	1402
69	3166	1356
70	3218	1314
71	3266	1270
72	3304	1222
73	3358	1180
74	3405	1135
75	3448	1089
76	3486	1041
77	3519	992
78	3555	945
79	3586	896
80	3622	849
81	3662	803
82	3688	755
83	3715	707
84	3742	660
85	3776	614
86	3804	568
87	3836	523
88	3866	477
89	3894	432
90	3923	388
91	3957	344
92	3990	300
93	4023	256
94	4054	213
95	4080	170
96	4108	127
97	4144	84
98	4172	42
99	4201	0
