iter	Logloss
0	0.661664205
1	0.6349718501
2	0.6111454402
3	0.5925255317
4	0.5716519535
5	0.5540347668
6	0.5384341251
7	0.5244676879
8	0.5126522739
9	0.5021703803
10	0.4930164036
11	0.4835093076
12	0.4775324343
13	0.4692854886
14	0.462001952
15	0.4559287966
16	0.4511378427
17	0.4455614605
18	0.4408086493
19	0.4360138505
20	0.4320732047
21	0.4282295282
22	0.4242723164
23	0.4205929172
24	0.4174782704
25	0.4149992665
26	0.4125548899
27	0.4100389372
28	0.4072327363
29	0.4052467853
30	0.4032997279
31	0.4018588586
32	0.3999792058
33	0.3982359589
34	0.397317832
35	0.3968601276
36	0.3951102013
37	0.3945429295
38	0.393576095
39	0.3920084612
40	0.3906691115
41	0.3892450023
42	0.3883532539
43	0.387367005
44	0.3863536131
45	0.3860665449
46	0.3855363194
47	0.3841545697
48	0.3830880031
49	0.3824591809
50	0.3818964329
51	0.38076009
52	0.3799742465
53	0.3792303306
54	0.3781800574
55	0.3774054818
56	0.3767694187
57	0.375882963
58	0.375305754
59	0.3744071984
60	0.373564033
61	0.3726325673
62	0.3714119025
63	0.3707616641
64	0.3703182733
65	0.3701171196
66	0.3696003308
67	0.3694314226
68	0.3686832315
69	0.3681083009
70	0.3668584423
71	0.3661915127
72	0.3655572228
73	0.3649456461
74	0.3641487135
75	0.3632018801
76	0.3629077058
77	0.3622390715
78	0.3620525259
79	0.3616765914
80	0.361457071
81	0.360197931
82	0.3593975944
83	0.358881531
84	0.3582491767
85	0.3578110397
86	0.3573592019
87	0.3571605787
88	0.3570835803
89	0.3566103755
90	0.3563310448
91	0.3557371433
92	0.3555089862
93	0.3547143881
94	0.3546172572
95	0.3540274565
96	0.3534639913
97	0.3531991427
98	0.3527896713
99	0.3523492696
