iter	Passed	Remaining
0	0	84
1	1	81
2	2	80
3	3	78
4	3	73
5	4	73
6	5	72
7	6	69
8	6	68
9	7	67
10	8	67
11	9	66
12	9	62
13	10	62
14	10	61
15	11	61
16	12	60
17	13	60
18	13	59
19	14	58
20	15	58
21	16	57
22	17	57
23	17	56
24	18	56
25	19	55
26	20	54
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	26	49
35	26	47
36	27	46
37	27	45
38	28	44
39	29	44
40	30	43
41	30	42
42	31	41
43	32	41
44	33	40
45	33	39
46	34	38
47	35	37
48	35	37
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	40	33
55	41	32
56	41	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	46	27
63	47	26
64	47	25
65	48	24
66	49	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	54	18
74	54	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	11
85	63	10
86	63	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	69	4
94	69	3
95	70	2
96	71	2
97	72	1
98	72	0
99	73	0
