iter	RMSE
0	0.8981769426
1	0.8524329782
2	0.8285187712
3	0.8130659296
4	0.8025042921
5	0.7954565989
6	0.7882784704
7	0.7864546165
8	0.7827960265
9	0.7810626714
10	0.7778876117
11	0.7758583323
12	0.7742224343
13	0.7728942169
14	0.7720691786
15	0.7707990764
16	0.7687111701
17	0.7681782166
18	0.7671501163
19	0.7654569164
20	0.7646604438
21	0.7638317351
22	0.763180832
23	0.7617322323
24	0.7602187211
25	0.7591861088
26	0.7579767889
27	0.7564728173
28	0.7546980396
29	0.7536969894
30	0.7521645753
31	0.7510384462
32	0.7496424228
33	0.7479137196
34	0.7467188095
35	0.7453116475
36	0.7446116192
37	0.7433854404
38	0.7422032366
39	0.7410179236
40	0.7402925633
41	0.7388081251
42	0.7377615761
43	0.7366276905
44	0.7355473514
45	0.7348304672
46	0.7337089665
47	0.732905474
48	0.7321930664
49	0.7311854057
50	0.7306689933
51	0.7290666892
52	0.7279971388
53	0.7273640562
54	0.7263842275
55	0.7255615183
56	0.7247656312
57	0.7243998073
58	0.7237044008
59	0.7227334053
60	0.7219073194
61	0.7212825442
62	0.7208212414
63	0.7198676455
64	0.7185787259
65	0.7180209755
66	0.7167999219
67	0.7155522938
68	0.7147827297
69	0.7135339895
70	0.7131729968
71	0.7122112954
72	0.7117418566
73	0.7105528634
74	0.7093556674
75	0.7078136066
76	0.7071152144
77	0.7065309416
78	0.7060506275
79	0.7055148812
80	0.7042212583
81	0.7034364687
82	0.7026886696
83	0.7019385043
84	0.7017525332
85	0.7012151205
86	0.7006829775
87	0.7004595082
88	0.6996053787
89	0.6987532837
90	0.6978011378
91	0.6972188771
92	0.6966050745
93	0.6959039918
94	0.6948833895
95	0.6941832266
96	0.6934041559
97	0.6923922491
98	0.691203666
99	0.6900709906
