iter	Passed	Remaining
0	145	14421
1	149	7337
2	152	4937
3	155	3735
4	158	3005
5	160	2517
6	163	2168
7	165	1908
8	169	1713
9	172	1550
10	178	1442
11	183	1344
12	186	1250
13	190	1167
14	192	1093
15	195	1027
16	198	968
17	201	918
18	208	889
19	212	851
20	216	813
21	219	778
22	222	744
23	225	712
24	227	683
25	231	657
26	234	632
27	236	609
28	239	587
29	242	565
30	247	551
31	252	537
32	256	521
33	259	503
34	262	486
35	264	470
36	267	455
37	270	441
38	274	429
39	278	418
40	281	405
41	284	393
42	287	381
43	290	369
44	292	357
45	295	346
46	298	336
47	301	326
48	304	316
49	306	306
50	309	297
51	313	289
52	316	280
53	320	273
54	323	265
55	326	256
56	329	248
57	332	240
58	335	233
59	339	226
60	342	218
61	345	211
62	347	204
63	350	197
64	352	189
65	355	183
66	359	176
67	363	170
68	367	165
69	371	159
70	374	153
71	378	147
72	381	141
73	384	134
74	389	129
75	393	124
76	398	118
77	401	113
78	404	107
79	406	101
80	409	96
81	412	90
82	415	85
83	418	79
84	421	74
85	425	69
86	429	64
87	435	59
88	439	54
89	442	49
90	445	44
91	448	38
92	451	33
93	454	28
94	459	24
95	463	19
96	467	14
97	469	9
98	472	4
99	475	0
